id,price_usd
3632,1016994.2040623198
3633,146889.25124187648
2263404,219831.2929583711
2263405,66984.70485895238
2263406,296498.34072395705
2263407,173389.93150637991
2263408,123500.15503967232
2263409,109291.18552957417
2263410,219774.94510463224
2263411,232919.46980100198
2263412,152876.7256716175
2263413,158604.39416048428
2263415,644579.1743823071
2263416,1192655.4795045431
2263417,127364.94961927956
2263418,123384.13685523579
2263419,142757.70056733693
2263420,153362.72774542077
2263421,135988.58048671714
2263422,59092.27499833193
2263423,155178.78834295206
2263424,212590.71791392207
2263425,175397.42944204796
2263426,185031.78019216846
2263427,209418.1660121086
2263428,309973.056540965
2263429,172931.30063845677
2263430,130201.9707050444
2263431,160576.1802080536
2263432,232044.29454753883
2263433,132241.5828411728
2263434,130201.9707050444
2263436,182337.81430850987
2263437,176717.45660719596
2263438,112417.45189254377
2263439,141280.7110079945
2263440,231470.26471499752
2263441,250221.32586035773
2263442,100398.11503094598
2263443,158781.4505981109
2263444,212064.81222663974
2263445,672688.6444447929
2263453,119330.48718972591
2263460,637374.8348051826
2263461,851263.0042854305
2263464,256844.7551516482
2263467,122555.63549215093
2263471,173350.1417690094
2263472,97768.35313562669
2263476,528147.9053040377
2263477,449082.6149091601
2263480,348216.8082067022
2263482,270004.84607733367
2263633,893644.3005035406
2263638,107961.0267907144
2263652,569259.4776354688
2264067,108247.82916114129
2264075,237942.70460004156
2264078,388661.2083156705
2264079,206757.4195656174
2264080,866511.409598572
2264151,152055.5894614211
2264153,145841.30129700975
2264155,408521.6423108096
2264158,119170.54347264441
2264162,240632.2921059739
2264164,67570.70889478864
2264168,338938.8698927319
2264173,150804.00532561954
2264178,1017286.501224215
2264183,192239.15437212976
2264189,216438.11059288573
2264198,425897.84699293395
2264199,233546.39469052432
2264206,205707.6479797342
2264212,229437.30069804762
2264215,248969.54788384432
2264218,353342.45759182004
2264219,438739.96254394046
2264221,172212.59828135022
2264227,250982.98198263103
2264229,502955.08647699706
2264234,448763.11986057
2264240,117094.80006695038
2264242,378977.1196982538
2264248,1838839.3115987345
2264249,485704.89382605156
2264259,223417.64578065858
2264265,286016.34558060067
2264270,444077.91831586877
2264272,137348.38023195902
2264274,338582.850641777
2264284,313280.4951011652
2264285,176137.67500417412
2264286,140337.95938989855
2264290,370659.67219527357
2264296,260587.4680048978
2264298,496908.8846574522
2264305,134782.81485441537
2264312,171294.2939788122
2264318,139399.62143411548
2264320,300767.1044687994
2264323,461738.19278225035
2264376,531288.7515188855
2264474,297214.8254282819
2264479,213585.3371849882
2264482,180066.55351778938
2264491,183214.18161030448
2264514,242373.49215877344
2264518,370913.7111376043
2264525,146480.2377976002
2264537,210039.69662867085
2264545,207029.32587466526
2264549,160998.01381657284
2264569,104216.63933157863
2264570,121405.655918554
2264571,140895.82646444158
2264572,285597.1751280591
2264573,120434.56489571251
2264574,154540.62520113876
2264575,69738.47143235838
2264576,213890.4443768764
2264577,139048.9662790774
2264578,188343.60175840041
2264589,1132894.8577364245
2264598,284501.8238096405
2264600,144516.87021594692
2264603,192297.38484960407
2264604,227698.25333625785
